Unique Identifier,Name,Reports To,Line Detail 1,Line Detail 2,Organization Name
0_Eric_BERANGER,Eric BERANGER,,CEO MBDA,CEO (Le Plessis-Robinson),
1_CHRIS_ALLAM,CHRIS ALLAM,0_Eric_BERANGER,UK Managing Director & EGD Engineering,M (Bolton),
2_FRANCO_VITTORI,FRANCO VITTORI,0_Eric_BERANGER,GROUP INTERNAL AUDIT DIRECTOR,M/CEO (Rome),
3_GIOVANNI_SOCCODATO,GIOVANNI SOCCODATO,0_Eric_BERANGER,MANAGING DIRECTOR ITALY & EGD SBD,M (Rome),
4_Gordon_Pitman,Gordon Pitman,0_Eric_BERANGER,MBDA Executive Group Human Resources Director,M (Stevenage),
5_Gregory_GAVROY,Gregory GAVROY,0_Eric_BERANGER,Directeur Communication Group,M/CEO (Le Plessis-Robinson),
6_GUIDO_LAMI,GUIDO LAMI,0_Eric_BERANGER,EGD  CHIEF TECHNOLOGY & PERFORMANCE OFFICER,M (Rome),
7_Hervé_DENYS_DE_BONNAVENTURE,Hervé DENYS DE BONNAVENTURE,0_Eric_BERANGER,Conseiller Relations Services Officiels,M/CEO (Le Plessis-Robinson),
8_MICHELA_BOTTAZZI,MICHELA BOTTAZZI,0_Eric_BERANGER,GROUP LEGAL DIRECTOR & GENERAL COUNSEL,M/CEO (Rome),
9_PETER_BOLS,PETER BOLS,0_Eric_BERANGER,CFO,M (Stevenage),
10_Philippe_BETHOUART,Philippe BETHOUART,0_Eric_BERANGER,Operations Group Director,M (Le Plessis-Robinson),
11_Stéphane_REB,Stéphane REB,0_Eric_BERANGER,Managing Director France & EGD Programmes,M (Le Plessis-Robinson),
12_Thomas_Gottschild,Thomas Gottschild,0_Eric_BERANGER,GE Managing Director & EGD Strategy,M (Schrobenhausen),
13_Isabelle_ANDRE,Isabelle ANDRE,0_Eric_BERANGER,Assistante du CEO,M/CEO (Le Plessis-Robinson),
14_Morena_BERNARDINI,Morena BERNARDINI,0_Eric_BERANGER,General Secretary,M/CEO (Le Plessis-Robinson),
15_Bruno_VERZOTTI,Bruno VERZOTTI,1_CHRIS_ALLAM,Director Future Systems,M/EN (Le Plessis-Robinson),
16_CHRIS_OWEN,CHRIS OWEN,1_CHRIS_ALLAM,UK Chief of Staff,M/UK (Stevenage),
17_Dr.-Ing._Ulrich_Nuding,Dr.-Ing. Ulrich Nuding,1_CHRIS_ALLAM,Engineering Director Germany,M/EN (Schrobenhausen),
18_Louise_HOLMES,Louise HOLMES,1_CHRIS_ALLAM,Deputy Managing Director UK,M/UK (Stevenage),
19_PAUL_HAUGHTON,PAUL HAUGHTON,1_CHRIS_ALLAM,DIRECTOR OF WEAPON SYSTEM DESIGN,M/EN (Bristol),
20_RICHARD_WRAY,RICHARD WRAY,1_CHRIS_ALLAM,DIRECTOR OF SEEKERS & DATALINK SYSTEMS and PROXIMITY DIRECTOR UK,M/EN (Stevenage),
21_Simon_CHARLIER,Simon CHARLIER,1_CHRIS_ALLAM,Senior Defence and Political Advisor UK,M/UK (Bristol),
